site,date,rainfall_mm
HY Wai-iti at Belgrove,2017-06-28,0
HY Wai-iti at Belgrove,2017-06-29,0
HY Wai-iti at Belgrove,2017-06-30,2.715
HY Wai-iti at Belgrove,2017-07-01,80.364
HY Wai-iti at Belgrove,2017-07-02,16.833
HY Wai-iti at Belgrove,2017-07-03,0.543
HY Wai-iti at Belgrove,2017-07-04,0
HY Wai-iti at Belgrove,2017-07-05,0
HY Wai-iti at Belgrove,2017-07-06,0
HY Wai-iti at Belgrove,2017-07-07,0
HY Wai-iti at Belgrove,2017-07-08,0
HY Wai-iti at Belgrove,2017-07-09,0
HY Wai-iti at Belgrove,2017-07-10,0
HY Wai-iti at Belgrove,2017-07-11,0
HY Wai-iti at Belgrove,2017-07-12,0
HY Wai-iti at Belgrove,2017-07-13,0
HY Wai-iti at Belgrove,2017-07-14,0
HY Wai-iti at Belgrove,2017-07-15,0
HY Wai-iti at Belgrove,2017-07-16,0
HY Wai-iti at Belgrove,2017-07-17,8.145
HY Wai-iti at Belgrove,2017-07-18,0
HY Wai-iti at Belgrove,2017-07-19,0
HY Wai-iti at Belgrove,2017-07-20,7.602
HY Wai-iti at Belgrove,2017-07-21,23.349
HY Wai-iti at Belgrove,2017-07-22,0.543
HY Wai-iti at Belgrove,2017-07-23,0
HY Wai-iti at Belgrove,2017-07-24,0
HY Wai-iti at Belgrove,2017-07-25,0
HY Wai-iti at Belgrove,2017-07-26,0
HY Wai-iti at Belgrove,2017-07-27,4.98
HY Wai-iti at Belgrove,2017-07-28,0
HY Wai-iti at Belgrove,2017-07-29,0
HY Wai-iti at Belgrove,2017-07-30,0
HY Wai-iti at Belgrove,2017-07-31,0
HY Wai-iti at Belgrove,2017-08-01,2.49
HY Wai-iti at Belgrove,2017-08-02,0
HY Wai-iti at Belgrove,2017-08-03,0
HY Wai-iti at Belgrove,2017-08-04,0
HY Wai-iti at Belgrove,2017-08-05,0
HY Wai-iti at Belgrove,2017-08-06,16.932
HY Wai-iti at Belgrove,2017-08-07,0
HY Wai-iti at Belgrove,2017-08-08,4.98
HY Wai-iti at Belgrove,2017-08-09,24.9
HY Wai-iti at Belgrove,2017-08-10,0.498
HY Wai-iti at Belgrove,2017-08-11,0
HY Wai-iti at Belgrove,2017-08-12,2.49
HY Wai-iti at Belgrove,2017-08-13,8.964
HY Wai-iti at Belgrove,2017-08-14,10.956
HY Wai-iti at Belgrove,2017-08-15,0
HY Wai-iti at Belgrove,2017-08-16,2.49
HY Wai-iti at Belgrove,2017-08-17,7.47
HY Wai-iti at Belgrove,2017-08-18,0.498
HY Wai-iti at Belgrove,2017-08-19,0
HY Wai-iti at Belgrove,2017-08-20,0
HY Wai-iti at Belgrove,2017-08-21,0
HY Wai-iti at Belgrove,2017-08-22,0
HY Wai-iti at Belgrove,2017-08-23,0
HY Wai-iti at Belgrove,2017-08-24,0
HY Wai-iti at Belgrove,2017-08-25,0
HY Wai-iti at Belgrove,2017-08-26,0
HY Wai-iti at Belgrove,2017-08-27,0
HY Wai-iti at Belgrove,2017-08-28,22.908
HY Wai-iti at Belgrove,2017-08-29,0
HY Wai-iti at Belgrove,2017-08-30,0
HY Wai-iti at Belgrove,2017-08-31,3.486
