date,rainfall_mm
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0.525
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,3.675
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,7.875
2020-09-16,0.525
2020-09-17,0
2020-09-18,4.2
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,1.449
2020-09-26,9.66
2020-09-27,17.871
2020-09-28,5.313
2020-09-29,2.898
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0.483
2020-10-09,0.966
2020-10-10,7.245
2020-10-11,5.313
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,10.626
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,19.002995
2020-10-28,1.2830048
2020-10-29,5.313
2020-10-30,0.483
2020-10-31,2.415
2020-11-01,0
2020-11-02,17.388
2020-11-03,43.468033
2020-11-04,22.219967
2020-11-05,1.932
2020-11-06,0.966
2020-11-07,9.3690053
2020-11-08,77.57099
2020-11-09,0
2020-11-10,1.449
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,27.048
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,1.548
2020-11-24,23.736
2020-11-25,6.708
2020-11-26,1.032
2020-11-27,0
2020-11-28,0
2020-11-29,9.804
2020-11-30,41.796
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,2.064
2020-12-08,0.516
2020-12-09,0.516
2020-12-10,8.256
2020-12-11,0
2020-12-12,0.516
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,30.444
2020-12-23,18.576
2020-12-24,0.516
2020-12-25,0
2020-12-26,40.248
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,1.548
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,2.064
2021-01-18,0
2021-01-19,0.516
2021-01-20,2.064
2021-01-21,1.548
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,4.9
2021-02-10,0.49
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,3.92
2021-02-16,0.49
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0.49
2021-02-25,5.88
2021-02-26,0
2021-02-27,0
2021-02-28,0.49
2021-03-01,3.43
2021-03-02,21.07
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,1.96
2021-03-07,0.98
2021-03-08,0
2021-03-09,0
2021-03-10,0
2021-03-11,6.86
2021-03-12,0
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,0
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-03-25,0
2021-03-26,0
2021-03-27,0
2021-03-28,3.577
2021-03-29,1.022
2021-03-30,0.511
2021-03-31,48.034
2021-04-01,0
2021-04-02,0.511
2021-04-03,3.066
2021-04-04,0
2021-04-05,0
2021-04-06,0
2021-04-07,0
2021-04-08,0
2021-04-09,3.577
2021-04-10,68.474
2021-04-11,1.022
2021-04-12,0
2021-04-13,4.088
2021-04-14,0.511
2021-04-15,0
2021-04-16,1.022
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0.511
2021-04-27,0.511
2021-04-28,1.533
2021-04-29,0
2021-04-30,0
2021-05-01,0
2021-05-02,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-06,0
2021-05-07,0
2021-05-08,0
2021-05-09,0.55
2021-05-10,1.1
2021-05-11,6.6
2021-05-12,17.05
2021-05-13,0
2021-05-14,3.0104534
2021-05-15,14.589547
2021-05-16,22.55
2021-05-17,12.65
2021-05-18,4.4
2021-05-19,0
2021-05-20,0
2021-05-21,0
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,0
2021-05-26,0
2021-05-27,0
2021-05-28,17.308824
2021-05-29,55.841176
2021-05-30,8.25
2021-05-31,0.55
2021-06-01,0
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-06-05,2.75
2021-06-06,12.65
